# Time(s) Gyro_X Gyro_Y Gyro_Z Acc_X Acc_Y Acc_Z
2.850000 0.00042925 -0.00033236 -0.00032858 0.024988 -0.026497 -10.292481
2.860000 0.00044778 0.00113293 -0.00059708 0.025595 -0.004162 -10.307884
2.870000 -0.00051574 0.00204751 0.00099588 0.004948 -0.012211 -10.299513
2.880000 0.00038721 0.00011230 -0.00051413 0.049027 -0.010415 -10.296068
2.890000 0.00133446 0.00115854 0.00121020 0.018272 -0.027181 -10.291011
2.900000 0.00082305 -0.00029830 -0.00217932 0.019209 -0.015783 -10.295706
2.910000 0.00026907 0.00046687 0.00099456 0.022212 -0.032393 -10.288280
2.920000 0.00048239 0.00072379 -0.00081642 0.011536 -0.016380 -10.283791
2.930000 0.00218839 0.00302693 -0.00133087 0.037794 -0.032005 -10.296348
2.940000 0.00051056 0.00154416 -0.00011811 0.022729 -0.030075 -10.288624
2.950000 0.00284671 0.00108393 -0.00115929 0.021163 -0.013058 -10.305826
2.960000 0.00159065 0.00160870 0.00002048 0.024129 -0.006618 -10.295377
2.970000 0.00150727 0.00156667 0.00036930 0.014861 -0.019361 -10.294446
2.980000 0.00238216 0.00114871 -0.00096712 0.020488 -0.005952 -10.301453
2.990000 0.00114671 0.00170651 -0.00161694 0.007816 -0.011406 -10.301425
3.000000 0.00136867 0.00010666 -0.00077126 0.027837 -0.014925 -10.290102
3.010000 0.00227845 0.00069110 -0.00075356 0.009857 -0.013566 -10.303643
3.020000 -0.00035986 0.00124625 -0.00015452 0.007796 -0.023611 -10.302095
3.030000 0.00316325 0.00019222 -0.00058085 0.032447 -0.020709 -10.309365
3.040000 0.00124938 0.00207745 -0.00089530 0.021315 -0.014708 -10.301571
3.050000 0.00127902 0.00110790 -0.00061339 0.018388 -0.005238 -10.289943
3.060000 0.00055357 0.00069409 0.00027363 0.025842 -0.026837 -10.267785
3.070000 -0.00002652 0.00063297 -0.00150012 0.030513 -0.009830 -10.308293
3.080000 0.00219505 -0.00102319 -0.00135892 0.029477 -0.020011 -10.298593
3.090000 0.00137721 0.00206552 -0.00086575 0.003192 -0.027415 -10.292265
3.100000 0.00044480 0.00238116 -0.00224801 0.030062 -0.008151 -10.290142
3.110000 -0.00119881 0.00094001 -0.00130205 0.019352 -0.019067 -10.293761
3.120000 -0.00002123 0.00120836 -0.00055620 0.028214 -0.014951 -10.284547
3.130000 0.00043592 -0.00078030 0.00007246 0.017849 -0.024803 -10.296754
3.140000 0.00165020 0.00040082 0.00104664 0.021060 -0.015820 -10.283843
3.150000 -0.00007008 -0.00102553 -0.00149191 0.028053 -0.029309 -10.281306
3.160000 0.00095441 0.00074334 -0.00104124 -0.007414 0.006510 -10.299523
3.170000 0.00135206 -0.00075154 0.00064376 0.018104 -0.015600 -10.292798
3.180000 0.00091785 0.00161730 -0.00045727 0.019997 -0.016334 -10.283561
3.190000 0.00145675 0.00106977 -0.00035229 0.025656 -0.024588 -10.289243
3.200000 0.00164272 0.00182915 -0.00060348 0.025241 -0.020453 -10.288729
3.210000 0.00170900 0.00041026 0.00064012 0.018424 -0.017217 -10.299139
3.220000 0.00032361 0.00230094 -0.00084016 -0.004281 -0.020267 -10.289518
3.230000 -0.00043078 0.00062810 -0.00148105 0.019776 -0.027852 -10.287004
3.240000 0.00184064 -0.00015262 -0.00124618 0.017014 -0.027216 -10.274590
3.250000 -0.00088954 0.00004769 -0.00322388 0.009468 -0.006205 -10.304343
3.260000 -0.00058390 0.00126041 -0.00001420 0.021358 -0.024022 -10.309043
3.270000 0.00142546 -0.00046698 -0.00084771 0.025222 -0.010947 -10.285204
3.280000 0.00099640 -0.00065836 0.00070340 0.019656 0.007204 -10.293967
3.290000 0.00187736 0.00027904 -0.00077311 0.025668 -0.028584 -10.302791
3.300000 0.00120838 -0.00154173 -0.00104718 0.025197 -0.015842 -10.294773
3.310000 0.00031802 -0.00050162 -0.00108110 0.011835 -0.013781 -10.295465
3.320000 0.00279769 0.00114084 -0.00137118 0.008196 -0.008575 -10.313651
3.330000 0.00157258 0.00189936 0.00012463 0.021842 0.002656 -10.289844
